ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
28	"ENSG00000225470.9"	"JPX"	chrX	+	73946998	73947374	73994839	73994961	73944583	73944662	73998767	73998844	28	0,0,0	0,0,1	2,0,0	0,0,0	198	198	1	1.0	NA,NA,0.0	1.0,NA,NA	-1.0
31	"ENSG00000225470.9"	"JPX"	chrX	+	73946998	73947374	73994839	73994961	73944583	73944662	73999354	74000496	31	0,0,0	0,0,1	2,0,0	0,0,0	198	198	1	1.0	NA,NA,0.0	1.0,NA,NA	-1.0
47	"ENSG00000225470.9"	"JPX"	chrX	+	73994839	73994961	73998767	73998844	73944583	73944662	73998953	74000496	47	0,0,1	0,0,0	0,0,0	0,0,4	198	176	1	1.0	NA,NA,1.0	NA,NA,0.0	1.0
55	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48981214	48981314	48981415	48981472	48978304	48978435	48981595	48981691	55	1,1,0	0,2,4	0,0,0	0,2,1	156	198	1	1.0	1.0,0.388,0.0	NA,0.0,0.0	0.463
56	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48990684	48990732	48990925	48991110	48989971	48990003	48993427	48993578	56	0,8,1	1,5,0	1,1,0	0,2,0	198	147	1	1.0	0.0,0.543,1.0	1.0,0.271,NA	-0.121
57	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48990925	48991102	48993427	48993578	48990684	48990732	48997249	48997357	57	0,5,3	1,9,8	0,0,0	0,2,2	198	198	1	1.0	0.0,0.357,0.273	NA,0.0,0.0	0.21
58	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48990925	48991110	48993427	48993578	48990684	48990732	48997249	48997357	58	0,5,3	1,9,8	0,0,0	0,2,2	198	198	1	1.0	0.0,0.357,0.273	NA,0.0,0.0	0.21
59	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48993427	48993578	48997249	48997357	48990925	48991110	48998153	48998180	59	2,1,8	0,5,1	10,0,4	0,1,0	198	198	0.0683957633815	1.0	1.0,0.167,0.889	1.0,0.0,1.0	0.019
60	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48997249	48997357	48998153	48998180	48993427	48993578	48999237	48999299	60	0,0,0	0,2,0	1,0,0	0,0,2	126	198	1	1.0	NA,0.0,NA	1.0,NA,0.0	-0.5
61	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48997249	48997357	48999237	48999299	48993427	48993578	48999437	48999504	61	0,5,1	0,2,0	1,0,0	0,0,0	161	198	1	1.0	NA,0.755,1.0	1.0,NA,NA	-0.123
64	"ENSG00000215301.11"	"DDX3X"	chrX	+	41343215	41343351	41343736	41343822	41342736	41342836	41344029	41344128	64	0,0,2	0,0,4	0,1,0	3,0,2	198	185	1	1.0	NA,NA,0.318	0.0,1.0,0.0	-0.015
65	"ENSG00000215301.11"	"DDX3X"	chrX	+	41343736	41343822	41344029	41344128	41343215	41343351	41344238	41344399	65	0,1,2	1,0,4	0,0,0	2,0,1	185	198	1	1.0	0.0,1.0,0.349	0.0,NA,0.0	0.45
75	"ENSG00000046651.16"	"OFD1"	chrX	+	13763744	13763855	13767126	13767284	13762343	13762444	13768053	13768224	75	0,2,6	1,3,11	0,1,6	2,0,0	198	198	0.00519668629071	0.35250855338649506	0.0,0.4,0.353	0.0,1.0,1.0	-0.416
94	"ENSG00000239900.14"	"ADSL"	chr22	+	40353072	40353117	40354247	40354327	40349831	40350035	40358863	40359035	94	0,0,2	0,4,0	0,0,1	0,0,0	144	179	1	1.0	NA,0.0,1.0	NA,NA,1.0	-0.5
117	"ENSG00000015475.19"	"BID"	chr22	-	17743802	17744013	17750104	17750174	17739348	17739488	17774380	17774495	117	0,2,0	0,1,0	0,0,2	0,0,0	169	198	1	1.0	NA,0.701,NA	NA,NA,1.0	-0.299
118	"ENSG00000099968.18"	"BCL2L13"	chr22	+	17683213	17683321	17702242	17702386	17655661	17655832	17726676	17730855	118	0,0,1	0,0,0	0,0,0	2,0,0	198	198	1	1.0	NA,NA,1.0	0.0,NA,NA	1.0
124	"ENSG00000157601.15"	"MX1"	chr21	+	41449136	41449295	41451166	41451243	41445999	41446141	41452620	41452869	124	0,0,2	0,0,1	2,0,7	0,4,5	198	176	1	1.0	NA,NA,0.64	1.0,0.0,0.554	0.122
138	"ENSG00000182670.14"	"TTC3"	chr21	+	37157160	37157214	37158130	37158203	37156654	37156906	37159698	37159745	138	0,0,2	0,0,2	1,0,0	0,0,0	153	172	1	1.0	NA,NA,0.529	1.0,NA,NA	-0.471
143	"ENSG00000142192.22"	"APP"	chr21	-	25997359	25997416	26000014	26000182	25982343	25982477	26021839	26022042	143	8,20,42	0,4,0	11,7,5	0,0,0	198	156	0.456267715998	1.0	1.0,0.798,1.0	1.0,1.0,1.0	-0.067
202	"ENSG00000101084.19"	"RAB5IF"	chr20	+	36607889	36608000	36609600	36609730	36607714	36607818	36612009	36612557	202	0,0,0	0,0,6	2,0,0	0,0,1	198	198	1	1.0	NA,NA,0.0	1.0,NA,0.0	-0.5
203	"ENSG00000101084.19"	"RAB5IF"	chr20	+	36607889	36608000	36609600	36609758	36607714	36607818	36612009	36612557	203	0,0,0	0,0,4	2,0,0	0,0,1	198	198	1	1.0	NA,NA,0.0	1.0,NA,0.0	-0.5
205	"ENSG00000131051.24"	"RBM39"	chr20	-	35739392	35739547	35740524	35740597	35738967	35739017	35740823	35740887	205	1,5,11	0,0,1	1,0,1	0,0,0	172	198	1	1.0	1.0,1.0,0.927	1.0,NA,1.0	-0.024
218	"ENSG00000100997.20"	"ABHD12"	chr20	-	25303549	25303628	25306832	25306915	25302218	25302346	25307965	25308045	218	0,2,1	0,0,0	0,0,0	0,0,2	182	178	1	1.0	NA,1.0,1.0	NA,NA,0.0	1.0
230	"ENSG00000184381.20"	"PLA2G6"	chr22	-	38139981	38140169	38143104	38143288	38134987	38135084	38145437	38145653	230	0,7,0	0,2,2	0,0,1	0,0,4	198	198	1	1.0	NA,0.778,0.0	NA,NA,0.2	0.189
240	"ENSG00000039650.12"	"PNKP"	chr19	-	49862184	49862281	49862370	49862463	49862043	49862105	49862537	49862608	240	0,3,0	1,1,0	1,0,1	3,0,0	192	196	1	1.0	0.0,0.754,NA	0.254,NA,1.0	-0.25
250	"ENSG00000118156.13"	"ZNF541"	chr19	-	47538141	47538439	47539704	47539878	47532908	47532972	47540175	47540335	250	0,0,0	2,0,0	0,0,2	0,0,0	198	198	1	1.0	0.0,NA,NA	NA,NA,1.0	-1.0
266	"ENSG00000076928.20"	"ARHGEF1"	chr19	+	41904948	41905036	41905174	41905261	41904215	41904383	41905759	41905827	266	0,2,0	1,5,0	0,0,2	4,1,2	187	186	1	1.0	0.0,0.285,NA	0.0,0.0,0.499	-0.024
280	"ENSG00000090006.18"	"LTBP4"	chr19	+	40616888	40617020	40617099	40617225	40614314	40614446	40619346	40619493	280	1,0,1	0,0,1	2,0,0	0,0,0	198	198	1	1.0	1.0,NA,0.5	1.0,NA,NA	-0.25
282	"ENSG00000130402.14"	"ACTN4"	chr19	+	38710256	38710342	38711275	38711361	38709394	38709476	38714468	38714561	282	0,3,0	0,0,1	2,0,0	0,0,0	185	185	1	1.0	NA,1.0,0.0	1.0,NA,NA	-0.5
287	"ENSG00000245680.11"	"ZNF585B"	chr19	-	37195880	37196019	37198938	37199054	37190023	37190150	37207039	37207254	287	0,0,2	0,0,0	0,0,0	2,0,0	198	198	1	1.0	NA,NA,1.0	0.0,NA,NA	1.0
307	"ENSG00000011243.19"	"AKAP8L"	chr19	-	15403474	15403555	15403657	15403715	15401149	15401603	15404009	15404042	307	0,0,1	1,1,0	0,0,0	2,0,0	157	180	1	1.0	0.0,0.0,1.0	0.0,NA,NA	0.333
320	"ENSG00000060069.18"	"CTDP1"	chr18	+	79728906	79729069	79736354	79736521	79717809	79718016	79753651	79754503	320	0,0,3	0,1,0	0,0,1	0,0,0	198	198	1	1.0	NA,0.0,1.0	NA,NA,1.0	-0.5
322	"ENSG00000134444.15"	"RELCH"	chr18	+	62279773	62279856	62280359	62280442	62275373	62275473	62280645	62280709	322	0,0,2	0,0,2	0,0,0	1,0,1	182	182	1	1.0	NA,NA,0.5	0.0,NA,0.0	0.5
325	"ENSG00000172175.16"	"MALT1"	chr18	+	58734306	58734381	58734450	58734566	58733396	58733574	58735201	58735329	325	0,0,1	0,1,0	2,0,0	0,0,0	174	198	1	1.0	NA,0.0,1.0	1.0,NA,NA	-0.5
338	"ENSG00000196628.20"	"TCF4"	chr18	-	55482149	55482256	55518981	55519024	55464075	55464137	55585279	55585352	338	0,0,0	0,0,1	0,0,1	0,0,0	142	198	1	1.0	NA,NA,0.0	NA,NA,1.0	-1.0
340	"ENSG00000141644.19"	"MBD1"	chr18	-	50274185	50274353	50274976	50275045	50273563	50273863	50275128	50275245	340	1,5,1	0,1,4	2,2,0	0,1,0	168	198	1	1.0	1.0,0.855,0.228	1.0,0.702,NA	-0.157
391	"ENSG00000101557.15"	"USP14"	chr18	+	166786	166819	178932	179037	163307	163453	180235	180339	391	0,0,0	0,1,0	0,0,2	0,0,0	132	198	1	1.0	NA,0.0,NA	NA,NA,1.0	-1.0
395	"ENSG00000185624.16"	"P4HB"	chr17	-	81846946	81847068	81847242	81847347	81846428	81846629	81855141	81855279	395	8,1,3	6,3,7	0,0,1	5,0,5	198	198	1	1.0	0.571,0.25,0.3	0.0,NA,0.167	0.29
401	"ENSG00000185339.10"	"TCN2"	chr22	+	30612872	30613042	30614348	30614501	30610870	30611063	30615300	30615473	401	0,0,1	0,0,0	0,0,0	2,0,0	198	198	1	1.0	NA,NA,1.0	0.0,NA,NA	1.0
403	"ENSG00000125450.11"	"NUP85"	chr17	+	75218184	75218306	75225102	75225237	75215753	75215823	75225341	75225464	403	2,0,0	0,0,1	1,0,0	4,0,1	198	198	1	1.0	1.0,NA,0.0	0.2,NA,0.0	0.4
419	"ENSG00000108848.16"	"LUC7L3"	chr17	+	50737286	50737479	50738140	50738199	50736959	50737026	50740305	50740345	419	2,2,2	0,0,1	3,0,0	0,0,0	198	158	1	1.0	1.0,1.0,0.615	1.0,NA,NA	-0.128
437	"ENSG00000108799.13"	"EZH1"	chr17	-	42722794	42722915	42724304	42724424	42720272	42720449	42727634	42727763	437	0,1,1	2,1,6	0,0,0	1,0,0	198	198	1	1.0	0.0,0.5,0.143	0.0,NA,NA	0.214
441	"ENSG00000073605.19"	"GSDMB"	chr17	-	39906960	39906987	39908175	39908214	39906110	39906271	39908957	39909042	441	0,0,0	0,1,1	1,0,0	0,0,1	138	126	1	1.0	NA,0.0,0.0	1.0,NA,0.0	-0.5
450	"ENSG00000161405.17"	"IKZF3"	chr17	-	39792672	39792933	39829386	39829488	39791415	39791583	39832097	39832151	450	0,0,0	0,1,0	2,0,0	0,0,0	198	198	1	1.0	NA,0.0,NA	1.0,NA,NA	-1.0
454	"ENSG00000275700.6"	"AATF"	chr17	+	36953769	36953907	36986616	36986731	36952885	36953296	36988518	36988720	454	1,3,6	0,0,1	3,0,0	3,0,1	198	198	1	1.0	1.0,1.0,0.857	0.5,NA,0.0	0.702
464	"ENSG00000101266.19"	"CSNK2A1"	chr20	-	499254	499305	499832	499934	497720	497780	505117	505229	464	0,2,0	0,0,0	0,0,0	0,0,8	198	150	1	1.0	NA,1.0,NA	NA,NA,0.0	1.0
469	"ENSG00000175662.18"	"TOM1L2"	chr17	-	17882704	17882863	17884633	17884768	17879626	17879743	17893660	17893810	469	0,0,1	0,2,2	0,0,0	1,0,0	198	198	1	1.0	NA,0.0,0.333	0.0,NA,NA	0.167
470	"ENSG00000175662.18"	"TOM1L2"	chr17	-	17884633	17884768	17893660	17893810	17882704	17882863	17898595	17898674	470	0,0,3	2,2,0	0,0,1	0,0,1	198	198	1	1.0	0.0,0.0,1.0	NA,NA,0.5	-0.167
476	"ENSG00000178971.17"	"CTC1"	chr17	-	8228726	8228892	8229141	8229206	8228502	8228629	8229301	8229446	476	0,0,0	0,0,2	0,0,2	0,0,1	164	198	1	1.0	NA,NA,0.0	NA,NA,0.707	-0.707
483	"ENSG00000091592.17"	"NLRP1"	chr17	-	5532821	5532984	5536850	5536940	5530480	5530704	5539414	5539585	483	0,1,0	0,0,0	0,0,0	1,0,0	189	198	1	1.0	NA,1.0,NA	0.0,NA,NA	1.0
487	"ENSG00000141252.21"	"VPS53"	chr17	-	628087	628231	631549	631628	627173	627316	653290	653410	487	0,2,0	0,0,1	1,0,0	2,0,0	178	198	1	1.0	NA,1.0,0.0	0.357,NA,NA	0.143
488	"ENSG00000141252.21"	"VPS53"	chr17	-	655837	655953	661808	661895	653290	653410	697417	697484	488	0,0,1	0,1,3	2,0,0	0,1,0	186	198	1	1.0	NA,0.0,0.262	1.0,0.0,NA	-0.369
500	"ENSG00000185324.22"	"CDK10"	chr16	+	89687588	89687815	89689251	89689324	89686689	89686797	89690552	89690624	500	0,2,0	1,3,4	0,0,0	0,0,2	198	172	1	1.0	0.0,0.367,0.0	NA,NA,0.0	0.122
504	"ENSG00000118705.18"	"RPN2"	chr20	+	37198396	37198492	37199049	37199225	37184179	37184373	37203884	37203960	504	0,2,3	0,2,6	0,0,2	0,0,0	195	198	1	1.0	NA,0.504,0.337	NA,NA,1.0	-0.58
514	"ENSG00000168411.14"	"RFWD3"	chr16	-	74651919	74652122	74660931	74661451	74649131	74649202	74664623	74664745	514	0,0,1	0,2,2	0,0,0	1,0,0	198	198	1	1.0	NA,0.0,0.333	0.0,NA,NA	0.167
518	"ENSG00000039068.20"	"CDH1"	chr16	+	68808692	68808848	68810196	68810341	68808423	68808567	68811683	68811859	518	0,0,3	0,0,2	1,0,1	0,0,0	198	198	1	1.0	NA,NA,0.6	1.0,NA,1.0	-0.4
532	"ENSG00000135720.13"	"DYNC1LI2"	chr16	-	66742437	66742668	66749196	66749313	66736074	66736244	66751272	66751346	532	1,0,2	0,0,1	0,0,4	0,0,1	198	198	1	1.0	1.0,NA,0.667	NA,NA,0.8	0.033
533	"ENSG00000254788.7"	"CKLF-CMTM1"	chr16	+	66558189	66558348	66563121	66563217	66552678	66552793	66577103	66577202	533	0,1,1	0,0,1	0,0,1	0,0,0	198	195	1	1.0	NA,1.0,0.496	NA,NA,1.0	-0.252
542	"ENSG00000290927.1"	"ENSG00000290927"	chr16	+	31705348	31705472	31705671	31705792	31704219	31704390	31705889	31706034	542	0,2,2	0,2,1	0,0,0	4,0,0	198	198	1	1.0	NA,0.5,0.667	0.0,NA,NA	0.584
544	"ENSG00000290927.1"	"ENSG00000290927"	chr16	+	31705671	31705792	31705889	31706034	31705348	31705472	31706890	31707437	544	2,0,4	1,0,0	10,0,7	2,0,0	198	198	1	1.0	0.667,NA,1.0	0.833,NA,1.0	-0.083
