ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
12	"ENSG00000130826.19"	"DKC1"	chrX	+	154774601	154775273	154774601	154774705	154775194	154775273	12	0,0,1	0,0,3	0,0,0	1,0,2	588	99	1	1.0	NA,NA,0.053	0.0,NA,0.0	0.053
13	"ENSG00000130826.19"	"DKC1"	chrX	+	154774601	154776324	154774601	154775273	154776186	154776324	13	0,0,6	0,1,4	0,0,0	1,0,2	1012	99	1	1.0	NA,0.0,0.128	0.0,NA,0.0	0.064
21	"ENSG00000147403.18"	"RPL10"	chrX	+	154398376	154398542	154398376	154398394	154398496	154398542	21	8,6,2	2,0,8	1,2,0	0,0,3	201	99	0.18484764888	1.0	0.663,1.0,0.11	1.0,1.0,0.0	-0.076
22	"ENSG00000147403.18"	"RPL10"	chrX	+	154399337	154399594	154399337	154399396	154399486	154399594	22	2,3,6	4,9,22	1,0,1	7,5,8	189	99	0.00213262824669	0.19193654220210002	0.208,0.149,0.125	0.07,0.0,0.061	0.117
23	"ENSG00000147403.18"	"RPL10"	chrX	+	154399802	154400626	154399802	154399941	154400463	154400626	23	0,0,5	12,5,15	6,1,2	0,4,2	621	99	0.0631986718488	1.0	0.0,0.0,0.05	1.0,0.038,0.137	-0.375
24	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154350908	154351696	24	0,7,0	1,4,0	1,1,0	0,0,1	800	99	1	1.0	0.0,0.178,NA	1.0,1.0,0.0	-0.578
25	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154350908	154351041	154351580	154351696	25	0,2,2	0,1,1	0,0,0	1,0,0	638	99	1	1.0	NA,0.237,0.237	0.0,NA,NA	0.237
28	"ENSG00000184216.15"	"IRAK1"	chrX	-	154019430	154019812	154019430	154019598	154019676	154019812	28	0,1,0	0,1,1	0,0,0	4,0,0	177	99	1	1.0	NA,0.359,0.0	0.0,NA,NA	0.179
42	"ENSG00000102081.16"	"FMR1"	chrX	+	147943130	147945051	147943130	147943326	147944904	147945051	42	0,1,7	0,0,0	1,0,2	0,0,1	1677	99	1	1.0	NA,1.0,1.0	1.0,NA,0.106	0.447
57	"ENSG00000068366.21"	"ACSL4"	chrX	-	109663210	109665494	109663210	109663402	109665419	109665494	57	0,0,2	0,0,1	0,0,2	1,2,0	2116	99	1	1.0	NA,NA,0.086	0.0,0.0,1.0	-0.247
67	"ENSG00000102393.15"	"GLA"	chrX	-	101398369	101398946	101398369	101398567	101398784	101398946	67	0,0,0	0,0,1	1,0,0	0,0,0	316	99	1	1.0	NA,NA,0.0	1.0,NA,NA	-1.0
76	"ENSG00000085224.23"	"ATRX"	chrX	-	77681519	77684593	77681519	77683451	77683538	77684593	76	2,2,6	2,3,0	1,0,8	0,0,0	186	99	1	1.0	0.347,0.262,1.0	1.0,NA,1.0	-0.464
80	"ENSG00000225470.9"	"JPX"	chrX	+	73998767	74000496	73998767	73998844	73998953	74000496	80	0,0,1	0,0,0	0,0,0	0,0,6	208	99	1	1.0	NA,NA,1.0	NA,NA,0.0	1.0
81	"ENSG00000225470.9"	"JPX"	chrX	+	73998953	73999669	73998953	73999051	73999185	73999669	81	0,0,3	0,0,0	2,0,5	0,0,2	233	99	1	1.0	NA,NA,1.0	1.0,NA,0.515	0.242
86	"ENSG00000198034.11"	"RPS4X"	chrX	-	72273800	72275150	72273800	72273972	72275052	72275150	86	0,1,3	5,6,20	1,2,1	1,1,8	1179	99	0.87327892546	1.0	0.0,0.014,0.012	0.077,0.144,0.01	-0.068
87	"ENSG00000147162.15"	"OGT"	chrX	+	71544566	71548023	71544566	71544635	71547906	71548023	87	10,50,318	0,0,0	27,8,27	0,0,2	3370	99	0.497172903427	1.0	1.0,1.0,1.0	1.0,1.0,0.284	0.239
96	"ENSG00000184634.17"	"MED12"	chrX	+	71128597	71129215	71128597	71128718	71129113	71129215	96	0,1,1	0,1,3	0,0,0	1,0,0	494	99	1	1.0	NA,0.167,0.063	0.0,NA,NA	0.115
109	"ENSG00000147168.14"	"IL2RG"	chrX	-	71108276	71108695	71108276	71108346	71108598	71108695	109	0,2,3	0,0,0	1,0,2	2,1,2	351	99	1	1.0	NA,1.0,1.0	0.124,0.0,0.22	0.885
110	"ENSG00000147168.14"	"IL2RG"	chrX	-	71110155	71110688	71110155	71110295	71110503	71110688	110	0,0,1	1,0,1	0,0,0	0,0,1	307	99	1	1.0	0.0,NA,0.244	NA,NA,0.0	0.122
119	"ENSG00000072506.14"	"HSD17B10"	chrX	-	53431260	53431906	53431260	53431594	53431797	53431906	119	0,0,4	0,0,1	0,0,0	1,0,0	302	99	1	1.0	NA,NA,0.567	0.0,NA,NA	0.567
121	"ENSG00000126012.13"	"KDM5C"	chrX	-	53198489	53198888	53198489	53198637	53198763	53198888	121	0,1,4	0,1,0	0,0,1	1,0,0	225	99	1	1.0	NA,0.306,1.0	0.0,NA,1.0	0.153
122	"ENSG00000126012.13"	"KDM5C"	chrX	-	53211496	53211906	53211496	53211655	53211786	53211906	122	0,1,1	1,2,6	0,0,0	0,0,1	230	99	1	1.0	0.0,0.177,0.067	NA,NA,0.0	0.081
123	"ENSG00000184205.14"	"TSPYL2"	chrX	+	53084531	53084866	53084531	53084622	53084754	53084866	123	0,0,3	0,2,6	0,0,2	0,0,0	231	99	1	1.0	NA,0.0,0.176	NA,NA,1.0	-0.912
127	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48975154	48976111	48975154	48975309	48976017	48976111	127	6,11,23	1,4,0	12,0,16	1,1,2	807	99	0.441799250052	1.0	0.424,0.252,1.0	0.595,0.0,0.495	0.195
129	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48975154	48976363	48975154	48976111	48976240	48976363	129	0,7,2	4,4,4	1,0,4	6,2,5	228	99	0.224632598935	1.0	0.0,0.432,0.178	0.067,0.0,0.258	0.095
131	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48988120	48989710	48988120	48988198	48989610	48989710	131	4,6,5	0,1,0	1,0,5	0,0,3	1511	99	1	1.0	1.0,0.282,1.0	1.0,NA,0.098	0.212
132	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48997249	48999299	48997249	48997357	48999237	48999299	132	3,26,19	0,0,0	15,1,5	0,0,2	1979	99	0.27272127348	1.0	1.0,1.0,1.0	1.0,1.0,0.111	0.296
133	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48999237	48999504	48999237	48999299	48999437	48999504	133	0,0,0	2,8,7	0,0,1	5,0,1	237	99	1	1.0	0.0,0.0,0.0	0.0,NA,0.295	-0.147
134	"ENSG00000101940.18"	"WDR13"	chrX	+	48597491	48598037	48597491	48597614	48597957	48598037	134	0,2,0	0,0,0	0,0,0	0,1,0	442	99	1	1.0	NA,1.0,NA	NA,0.0,NA	1.0
153	"ENSG00000215301.11"	"DDX3X"	chrX	+	41337407	41339083	41337407	41337465	41339035	41339083	153	0,1,14	0,4,3	1,0,1	1,0,0	1669	99	1	1.0	NA,0.015,0.217	0.056,NA,1.0	-0.412
