ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
23	"ENSG00000071553.18"	"ATP6AP1"	chrX	+	154429047	154431657	154429047	154429174	154431829	154431904	23	0,2,0	0,0,2	0,0,0	0,0,1	198	99	1	1.0	NA,1.0,0.0	NA,NA,0.0	0.5
84	"ENSG00000184634.17"	"MED12"	chrX	+	71128597	71128853	71128597	71128718	71129113	71129215	84	0,0,0	0,1,3	2,0,0	0,0,0	198	99	1	1.0	NA,0.0,0.0	1.0,NA,NA	-1.0
93	"ENSG00000182518.14"	"FAM104B"	chrX	-	55159125	55159228	55159128	55159228	55146180	55146311	93	0,0,1	0,0,0	1,0,0	2,0,0	102	99	1	1.0	NA,NA,1.0	0.327,NA,NA	0.673
95	"ENSG00000086758.17"	"HUWE1"	chrX	-	53543840	53543968	53543885	53543968	53542442	53542539	95	0,0,4	0,1,0	1,0,4	0,0,0	144	99	1	1.0	NA,0.0,1.0	1.0,NA,1.0	-0.5
97	"ENSG00000126012.13"	"KDM5C"	chrX	-	53193772	53193851	53193781	53193851	53193436	53193636	97	2,0,1	0,0,2	1,0,0	4,1,0	108	99	1	1.0	1.0,NA,0.314	0.186,0.0,NA	0.564
182	"ENSG00000100410.8"	"PHF5A"	chr22	-	41468019	41468147	41468123	41468147	41467447	41467614	182	0,0,1	0,0,1	0,0,0	0,0,1	198	99	1	1.0	NA,NA,0.333	NA,NA,0.0	0.333
183	"ENSG00000100412.17"	"ACO2"	chr22	+	41515766	41515992	41515766	41515917	41517526	41517631	183	0,2,0	2,0,0	0,0,0	0,0,3	174	99	1	1.0	0.0,1.0,NA	NA,NA,0.0	0.5
189	"ENSG00000239900.14"	"ADSL"	chr22	+	40361487	40361666	40361487	40361635	40362980	40363071	189	0,0,1	0,0,4	0,0,1	0,0,1	130	99	1	1.0	NA,NA,0.16	NA,NA,0.432	-0.272
190	"ENSG00000239900.14"	"ADSL"	chr22	+	40361487	40361677	40361487	40361635	40362980	40363071	190	0,0,1	0,0,4	0,0,1	0,0,1	141	99	1	1.0	NA,NA,0.149	NA,NA,0.413	-0.264
192	"ENSG00000100242.16"	"SUN2"	chr22	-	38740888	38741050	38741006	38741050	38740266	38740432	192	3,0,0	0,1,0	0,0,0	0,0,1	198	99	1	1.0	1.0,0.0,NA	NA,NA,0.0	0.5
247	"ENSG00000099949.22"	"LZTR1"	chr22	+	20990385	20990969	20990385	20990525	20991627	20991829	247	0,0,1	0,1,0	0,0,0	0,0,2	198	99	1	1.0	NA,0.0,1.0	NA,NA,0.0	0.5
261	"ENSG00000160256.14"	"SLX9"	chr21	+	44943683	44943837	44943683	44943792	44960099	44960168	261	0,0,0	0,1,0	2,0,0	0,0,0	144	99	1	1.0	NA,0.0,NA	1.0,NA,NA	-1.0
266	"ENSG00000160226.16"	"CFAP410"	chr21	-	44334060	44335804	44335757	44335804	44333032	44333262	266	0,1,2	0,0,0	0,0,1	0,0,2	198	99	1	1.0	NA,1.0,1.0	NA,NA,0.2	0.8
