ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
12	"ENSG00000130826.19"	"DKC1"	chrX	+	154774601	154775273	154774601	154774705	154775194	154775273	12	0,0,1	0,0,3	0,0,0	1,0,2	198	99	1	1.0	NA,NA,0.143	0.0,NA,0.0	0.143
13	"ENSG00000130826.19"	"DKC1"	chrX	+	154774601	154776324	154774601	154775273	154776186	154776324	13	0,0,3	0,1,4	0,0,0	1,0,2	198	99	1	1.0	NA,0.0,0.273	0.0,NA,0.0	0.137
21	"ENSG00000147403.18"	"RPL10"	chrX	+	154398376	154398542	154398376	154398394	154398496	154398542	21	7,6,2	2,0,8	1,2,0	0,0,3	198	99	0.174150753168	1.0	0.636,1.0,0.111	1.0,1.0,0.0	-0.084
22	"ENSG00000147403.18"	"RPL10"	chrX	+	154399337	154399594	154399337	154399396	154399486	154399594	22	2,3,6	4,9,22	1,0,1	7,5,8	189	99	0.00213262824669	0.17243822680379145	0.208,0.149,0.125	0.07,0.0,0.061	0.117
23	"ENSG00000147403.18"	"RPL10"	chrX	+	154399802	154400626	154399802	154399941	154400463	154400626	23	0,0,2	12,5,15	2,0,0	0,4,2	198	99	0.577971005141	1.0	0.0,0.0,0.062	1.0,0.0,0.0	-0.313
24	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154350908	154351696	24	0,2,0	1,4,0	0,1,0	0,0,1	198	99	1	1.0	0.0,0.2,NA	NA,1.0,0.0	-0.4
25	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154350908	154351041	154351580	154351696	25	0,2,2	0,1,1	0,0,0	1,0,0	198	99	1	1.0	NA,0.5,0.5	0.0,NA,NA	0.5
28	"ENSG00000184216.15"	"IRAK1"	chrX	-	154019430	154019812	154019430	154019598	154019676	154019812	28	0,1,0	0,1,1	0,0,0	4,0,0	177	99	1	1.0	NA,0.359,0.0	0.0,NA,NA	0.179
42	"ENSG00000102081.16"	"FMR1"	chrX	+	147943130	147945051	147943130	147943326	147944904	147945051	42	0,0,1	0,0,0	0,0,0	0,0,1	198	99	1	1.0	NA,NA,1.0	NA,NA,0.0	1.0
57	"ENSG00000068366.21"	"ACSL4"	chrX	-	109663210	109665494	109663210	109663402	109665419	109665494	57	0,0,1	0,0,1	0,0,2	1,2,0	198	99	1	1.0	NA,NA,0.333	0.0,0.0,1.0	-0.0
67	"ENSG00000102393.15"	"GLA"	chrX	-	101398369	101398946	101398369	101398567	101398784	101398946	67	0,0,0	0,0,1	1,0,0	0,0,0	198	99	1	1.0	NA,NA,0.0	1.0,NA,NA	-1.0
76	"ENSG00000085224.23"	"ATRX"	chrX	-	77681519	77684593	77681519	77683451	77683538	77684593	76	2,2,6	2,3,0	1,0,8	0,0,0	186	99	1	1.0	0.347,0.262,1.0	1.0,NA,1.0	-0.464
