ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
51	"ENSG00000147099.21"	"HDAC8"	chrX	-	72495155	72495268	72567888	72568030	72490928	72491006	72568753	72568884	51	0,0,2	0,1,0	0,2,0	0,0,0	198	198	1	1.0	NA,0.0,1.0	NA,1.0,NA	-0.5
53	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48978633	48978729	48980757	48980855	48978304	48978435	48981214	48981314	53	0,0,0	0,0,1	0,0,1	0,0,0	197	195	1	1.0	NA,NA,0.0	NA,NA,1.0	-1.0
54	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48978633	48978729	48980757	48980876	48978304	48978435	48981214	48981314	54	0,0,0	0,0,1	0,0,1	0,0,0	198	195	1	1.0	NA,NA,0.0	NA,NA,1.0	-1.0
55	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48981214	48981314	48981415	48981472	48978304	48978435	48981595	48981691	55	1,1,0	0,2,4	0,1,0	1,0,0	156	198	1	1.0	1.0,0.388,0.0	0.0,1.0,NA	-0.037
57	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48990925	48991102	48993427	48993578	48990684	48990732	48997249	48997357	57	0,5,3	1,9,8	0,0,0	1,0,0	198	198	1	1.0	0.0,0.357,0.273	0.0,NA,NA	0.21
58	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48990925	48991110	48993427	48993578	48990684	48990732	48997249	48997357	58	0,5,3	1,9,8	0,0,0	1,0,0	198	198	1	1.0	0.0,0.357,0.273	0.0,NA,NA	0.21
64	"ENSG00000215301.11"	"DDX3X"	chrX	+	41343215	41343351	41343736	41343822	41342736	41342836	41344029	41344128	64	0,0,2	0,0,4	4,2,0	0,0,0	198	185	1	1.0	NA,NA,0.318	1.0,1.0,NA	-0.682
65	"ENSG00000215301.11"	"DDX3X"	chrX	+	41343736	41343822	41344029	41344128	41343215	41343351	41344238	41344399	65	0,1,2	1,0,4	1,1,0	0,0,0	185	198	1	1.0	0.0,1.0,0.349	1.0,1.0,NA	-0.55
69	"ENSG00000131828.14"	"PDHA1"	chrX	+	19353081	19353173	19354490	19354583	19351280	19351407	19355348	19355504	69	0,0,2	0,0,0	0,0,0	0,0,2	191	192	1	1.0	NA,NA,1.0	NA,NA,0.0	1.0
75	"ENSG00000046651.16"	"OFD1"	chrX	+	13763744	13763855	13767126	13767284	13762343	13762444	13768053	13768224	75	0,2,6	1,3,11	0,0,0	2,0,0	198	198	1	1.0	0.0,0.4,0.353	0.0,NA,NA	0.251
92	"ENSG00000100393.15"	"EP300"	chr22	+	41141047	41141222	41146738	41146816	41140139	41140257	41147836	41147946	92	0,0,4	0,4,3	0,0,0	0,4,0	198	177	1	1.0	NA,0.0,0.544	NA,0.0,NA	0.272
94	"ENSG00000239900.14"	"ADSL"	chr22	+	40353072	40353117	40354247	40354327	40349831	40350035	40358863	40359035	94	0,0,2	0,4,0	0,0,0	0,1,0	144	179	1	1.0	NA,0.0,1.0	NA,0.0,NA	0.5
116	"ENSG00000183597.16"	"TANGO2"	chr22	+	20055942	20056013	20063337	20063442	20053436	20053551	20064541	20065925	116	1,0,0	0,0,0	0,0,0	0,0,1	170	198	1	1.0	1.0,NA,NA	NA,NA,0.0	1.0
117	"ENSG00000015475.19"	"BID"	chr22	-	17743802	17744013	17750104	17750174	17739348	17739488	17774380	17774495	117	0,2,0	0,1,0	4,0,0	0,0,0	169	198	1	1.0	NA,0.701,NA	1.0,NA,NA	-0.299
124	"ENSG00000157601.15"	"MX1"	chr21	+	41449136	41449295	41451166	41451243	41445999	41446141	41452620	41452869	124	0,0,2	0,0,1	0,0,1	0,0,1	198	176	1	1.0	NA,NA,0.64	NA,NA,0.471	0.169
138	"ENSG00000182670.14"	"TTC3"	chr21	+	37157160	37157214	37158130	37158203	37156654	37156906	37159698	37159745	138	0,0,2	0,0,2	0,2,0	0,0,0	153	172	1	1.0	NA,NA,0.529	NA,1.0,NA	-0.471
143	"ENSG00000142192.22"	"APP"	chr21	-	25997359	25997416	26000014	26000182	25982343	25982477	26021839	26022042	143	8,20,42	0,4,0	5,2,14	1,2,3	198	156	0.015664419999	0.7407032885241429	1.0,0.798,1.0	0.798,0.441,0.786	0.258
202	"ENSG00000101084.19"	"RAB5IF"	chr20	+	36607889	36608000	36609600	36609730	36607714	36607818	36612009	36612557	202	0,0,0	0,0,6	2,0,0	0,0,0	198	198	1	1.0	NA,NA,0.0	1.0,NA,NA	-1.0
203	"ENSG00000101084.19"	"RAB5IF"	chr20	+	36607889	36608000	36609600	36609758	36607714	36607818	36612009	36612557	203	0,0,0	0,0,4	2,0,0	0,0,0	198	198	1	1.0	NA,NA,0.0	1.0,NA,NA	-1.0
205	"ENSG00000131051.24"	"RBM39"	chr20	-	35739392	35739547	35740524	35740597	35738967	35739017	35740823	35740887	205	1,5,11	0,0,1	4,0,6	0,0,0	172	198	1	1.0	1.0,1.0,0.927	1.0,NA,1.0	-0.024
232	"ENSG00000078747.17"	"ITCH"	chr20	+	34393790	34393881	34408650	34408792	34369393	34369470	34412514	34412639	232	1,0,2	0,1,5	0,0,0	0,0,2	190	198	1	1.0	1.0,0.0,0.294	NA,NA,0.0	0.431
240	"ENSG00000039650.12"	"PNKP"	chr19	-	49862184	49862281	49862370	49862463	49862043	49862105	49862537	49862608	240	0,3,0	1,1,0	2,0,0	0,0,0	192	196	1	1.0	0.0,0.754,NA	1.0,NA,NA	-0.623
266	"ENSG00000076928.20"	"ARHGEF1"	chr19	+	41904948	41905036	41905174	41905261	41904215	41904383	41905759	41905827	266	0,2,0	1,5,0	0,0,0	2,0,1	187	186	1	1.0	0.0,0.285,NA	0.0,NA,0.0	0.142
280	"ENSG00000090006.18"	"LTBP4"	chr19	+	40616888	40617020	40617099	40617225	40614314	40614446	40619346	40619493	280	1,0,1	0,0,1	0,0,0	0,0,1	198	198	1	1.0	1.0,NA,0.5	NA,NA,0.0	0.75
281	"ENSG00000105197.11"	"TIMM50"	chr19	+	39482884	39482916	39485543	39485602	39481882	39482033	39485687	39485807	281	0,1,0	0,0,0	0,0,0	0,0,2	131	158	1	1.0	NA,1.0,NA	NA,NA,0.0	1.0
282	"ENSG00000130402.14"	"ACTN4"	chr19	+	38710256	38710342	38711275	38711361	38709394	38709476	38714468	38714561	282	0,3,0	0,0,1	11,1,1	0,0,0	185	185	1	1.0	NA,1.0,0.0	1.0,1.0,1.0	-0.5
311	"ENSG00000130733.11"	"YIPF2"	chr19	-	10927629	10927769	10927798	10927959	10925685	10925773	10928379	10928440	311	1,0,1	0,0,0	2,2,0	0,1,0	198	198	1	1.0	1.0,NA,1.0	1.0,0.667,NA	0.166
