ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
122	"ENSG00000013563.14"	"DNASE1L1"	chrX	-	154409111	154409196	154405433	154405655	154411890	154412112	122	0,0,0	2,0,0	0,0,2	0,0,0	184	99	1	1.0	0.0,NA,NA	NA,NA,1.0	-1.0
125	"ENSG00000147403.18"	"RPL10"	chrX	+	154400463	154400626	154399802	154399941	154400701	154400811	125	12,8,21	0,0,0	10,11,26	0,0,1	198	99	1	1.0	1.0,1.0,1.0	1.0,1.0,0.929	0.024
129	"ENSG00000196924.19"	"FLNA"	chrX	-	154357250	154357274	154354824	154355072	154357433	154357623	129	1,2,3	0,1,0	3,0,1	0,0,0	123	99	1	1.0	1.0,0.617,1.0	1.0,NA,1.0	-0.128
131	"ENSG00000196924.19"	"FLNA"	chrX	-	154365744	154366224	154365348	154365486	154366307	154366470	131	0,5,1	0,0,1	0,1,4	0,0,0	198	99	1	1.0	NA,1.0,0.333	NA,1.0,1.0	-0.334
132	"ENSG00000196924.19"	"FLNA"	chrX	-	154366023	154366224	154365348	154365486	154366307	154366334	132	0,14,6	0,0,1	1,2,5	0,0,0	198	99	1	1.0	NA,1.0,0.75	1.0,1.0,1.0	-0.125
196	"ENSG00000010404.18"	"IDS"	chrX	-	149491537	149491667	149490313	149490440	149496345	149496516	196	2,1,1	1,2,2	0,0,0	2,0,0	198	99	1	1.0	0.5,0.2,0.2	0.0,NA,NA	0.3
319	"ENSG00000003096.15"	"KLHL13"	chrX	-	118028423	118028497	117945433	117945575	118116507	118116810	319	0,0,0	0,0,1	1,0,0	0,0,0	173	99	1	1.0	NA,NA,0.0	1.0,NA,NA	-1.0
359	"ENSG00000147224.13"	"PRPS1"	chrX	+	107636587	107636679	107628484	107628750	107639294	107639478	359	0,0,0	0,1,1	0,1,0	1,0,0	191	99	1	1.0	NA,0.0,0.0	0.0,1.0,NA	-0.5
469	"ENSG00000085224.23"	"ATRX"	chrX	-	77693823	77693937	77688817	77688927	77696576	77696704	469	0,2,1	0,1,2	0,1,0	0,4,0	198	99	1	1.0	NA,0.5,0.2	NA,0.111,NA	0.239
585	"ENSG00000147099.21"	"HDAC8"	chrX	-	72568753	72568884	72567581	72568030	72572056	72572104	585	0,0,2	0,2,0	0,2,0	0,0,0	198	99	1	1.0	NA,0.0,1.0	NA,1.0,NA	-0.5
594	"ENSG00000147162.15"	"OGT"	chrX	+	71555189	71555385	71554512	71554592	71555953	71556094	594	0,5,24	0,0,11	0,0,6	0,0,0	198	99	1	1.0	NA,1.0,0.522	NA,NA,1.0	-0.239
643	"ENSG00000172943.21"	"PHF8"	chrX	-	53993600	53993903	53992735	53992839	53995692	53995782	643	0,0,1	3,1,1	1,0,0	0,0,0	198	99	1	1.0	0.0,0.0,0.333	1.0,NA,NA	-0.889
647	"ENSG00000086758.17"	"HUWE1"	chrX	-	53562110	53562244	53561755	53561924	53562830	53562929	647	7,10,6	1,0,0	7,1,2	0,0,0	198	99	1	1.0	0.778,1.0,1.0	1.0,1.0,1.0	-0.074
