ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
127	"ENSG00000196924.19"	"FLNA"	chrX	-	154352552	154352675	154352180	154352447	154352771	154352783	127	6,14,2	0,0,0	1,2,1	2,0,0	198	99	0.436879444956	1.0	1.0,1.0,1.0	0.2,1.0,1.0	0.267
128	"ENSG00000196924.19"	"FLNA"	chrX	-	154353553	154353727	154353295	154353457	154353914	154354043	128	4,11,9	0,0,0	4,0,3	2,0,0	198	99	1	1.0	1.0,1.0,1.0	0.5,NA,1.0	0.25
129	"ENSG00000196924.19"	"FLNA"	chrX	-	154357250	154357274	154354824	154355072	154357433	154357623	129	1,2,3	0,1,0	0,0,3	2,0,0	123	99	1	1.0	1.0,0.617,1.0	0.0,NA,1.0	0.372
131	"ENSG00000196924.19"	"FLNA"	chrX	-	154365744	154366224	154365348	154365486	154366307	154366470	131	0,5,1	0,0,1	2,1,2	0,0,0	198	99	1	1.0	NA,1.0,0.333	1.0,1.0,1.0	-0.334
132	"ENSG00000196924.19"	"FLNA"	chrX	-	154366023	154366224	154365348	154365486	154366307	154366334	132	0,14,6	0,0,1	3,1,3	0,0,0	198	99	1	1.0	NA,1.0,0.75	1.0,1.0,1.0	-0.125
153	"ENSG00000067829.20"	"IDH3G"	chrX	-	153789113	153789200	153788074	153788135	153789711	153789790	153	0,0,0	0,1,15	2,0,0	3,2,3	186	99	1	1.0	NA,0.0,0.0	0.262,0.0,0.0	-0.087
182	"ENSG00000235703.7"	"EOLA2-DT"	chrX	+	149941789	149941847	149941056	149941239	149944017	149944100	182	0,0,1	0,0,0	0,0,0	0,0,1	157	99	1	1.0	NA,NA,1.0	NA,NA,0.0	1.0
191	"ENSG00000241769.7"	"EOLA1-DT"	chrX	-	149536173	149536255	149533629	149534374	149538114	149538172	191	0,1,0	0,0,2	0,0,0	2,0,0	181	99	1	1.0	NA,1.0,0.0	0.0,NA,NA	0.5
193	"ENSG00000241769.7"	"EOLA1-DT"	chrX	-	149537632	149537778	149533629	149534374	149538114	149538172	193	2,1,0	0,0,2	0,0,0	2,0,0	198	99	1	1.0	1.0,1.0,0.0	0.0,NA,NA	0.667
196	"ENSG00000010404.18"	"IDS"	chrX	-	149491537	149491667	149490313	149490440	149496345	149496516	196	2,1,1	1,2,2	0,0,0	1,0,0	198	99	1	1.0	0.5,0.2,0.2	0.0,NA,NA	0.3
198	"ENSG00000010404.18"	"IDS"	chrX	-	149502074	149502177	149500948	149501037	149503311	149503489	198	0,0,1	0,0,0	0,0,0	0,0,2	198	99	1	1.0	NA,NA,1.0	NA,NA,0.0	1.0
275	"ENSG00000213468.7"	"FIRRE"	chrX	-	131777622	131777744	131768548	131768696	131783886	131784039	275	0,2,0	0,0,2	0,0,1	0,0,0	198	99	1	1.0	NA,1.0,0.0	NA,NA,1.0	-0.5
324	"ENSG00000102024.19"	"PLS3"	chrX	+	115614152	115614534	115610242	115610323	115622245	115622409	324	0,0,0	0,0,1	0,6,0	0,0,0	198	99	1	1.0	NA,NA,0.0	NA,1.0,NA	-1.0
338	"ENSG00000101901.13"	"ALG13"	chrX	+	111721602	111721711	111720094	111720170	111722792	111722857	338	1,4,6	0,1,0	0,0,1	0,0,0	198	99	1	1.0	1.0,0.667,1.0	NA,NA,1.0	-0.111
341	"ENSG00000101901.13"	"ALG13"	chrX	+	111722792	111722857	111721602	111721711	111723797	111723898	341	0,2,4	0,0,1	1,0,0	0,0,0	164	99	1	1.0	NA,1.0,0.707	1.0,NA,NA	-0.147
464	"ENSG00000085224.23"	"ATRX"	chrX	-	77676225	77676298	77664644	77664778	77681519	77683451	464	1,7,9	0,0,1	2,2,2	0,0,0	172	99	1	1.0	1.0,1.0,0.838	1.0,1.0,1.0	-0.054
468	"ENSG00000085224.23"	"ATRX"	chrX	-	77693823	77693937	77688817	77688927	77696576	77696704	468	0,2,1	0,1,2	1,0,1	0,0,2	198	99	1	1.0	NA,0.5,0.2	1.0,NA,0.2	-0.25
