ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
49	"ENSG00000147099.21"	"HDAC8"	chrX	-	72330657	72330768	72349691	72349926	72329537	72330076	72351732	72351838	49	0,0,1	0,0,0	0,0,0	4,0,0	334	210	1	1.0	NA,NA,1.0	0.0,NA,NA	1.0
51	"ENSG00000147099.21"	"HDAC8"	chrX	-	72495155	72495268	72567888	72568030	72490928	72491006	72568753	72568884	51	0,0,2	0,1,0	0,2,0	0,0,0	241	212	1	1.0	NA,0.0,1.0	NA,1.0,NA	-0.5
53	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48978633	48978729	48980757	48980855	48978304	48978435	48981214	48981314	53	0,0,0	0,0,1	0,0,1	0,0,0	197	195	1	1.0	NA,NA,0.0	NA,NA,1.0	-1.0
54	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48978633	48978729	48980757	48980876	48978304	48978435	48981214	48981314	54	0,0,0	0,0,1	0,0,1	0,0,0	218	195	1	1.0	NA,NA,0.0	NA,NA,1.0	-1.0
55	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48981214	48981314	48981415	48981472	48978304	48978435	48981595	48981691	55	1,1,0	0,2,4	0,1,0	1,0,0	156	199	1	1.0	1.0,0.389,0.0	0.0,1.0,NA	-0.037
56	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48990684	48990732	48990925	48991110	48989971	48990003	48993427	48993578	56	0,8,1	1,5,0	2,0,0	0,0,0	284	147	1	1.0	0.0,0.453,1.0	1.0,NA,NA	-0.516
57	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48990925	48991102	48993427	48993578	48990684	48990732	48997249	48997357	57	0,5,3	1,9,8	0,0,0	3,0,0	250	276	1	1.0	0.0,0.38,0.293	0.0,NA,NA	0.224
58	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48990925	48991110	48993427	48993578	48990684	48990732	48997249	48997357	58	0,5,3	1,9,8	0,0,0	3,0,0	250	284	1	1.0	0.0,0.387,0.299	0.0,NA,NA	0.229
64	"ENSG00000215301.11"	"DDX3X"	chrX	+	41343215	41343351	41343736	41343822	41342736	41342836	41344029	41344128	64	0,0,2	0,0,4	4,2,0	0,0,0	235	185	1	1.0	NA,NA,0.282	1.0,1.0,NA	-0.718
65	"ENSG00000215301.11"	"DDX3X"	chrX	+	41343736	41343822	41344029	41344128	41343215	41343351	41344238	41344399	65	0,1,2	1,0,4	1,1,0	0,0,0	185	198	1	1.0	0.0,1.0,0.349	1.0,1.0,NA	-0.55
