ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
28	"ENSG00000225470.9"	"JPX"	chrX	+	73946998	73947374	73994839	73994961	73944583	73944662	73998767	73998844	28	0,0,2	0,0,1	3,0,0	0,0,0	475	221	1	1.0	NA,NA,0.482	1.0,NA,NA	-0.518
31	"ENSG00000225470.9"	"JPX"	chrX	+	73946998	73947374	73994839	73994961	73944583	73944662	73999354	74000496	31	0,0,2	0,0,1	3,0,0	0,0,0	475	221	1	1.0	NA,NA,0.482	1.0,NA,NA	-0.518
47	"ENSG00000225470.9"	"JPX"	chrX	+	73994839	73994961	73998767	73998844	73944583	73944662	73998953	74000496	47	0,0,1	0,0,0	0,0,0	0,0,4	221	176	1	1.0	NA,NA,1.0	NA,NA,0.0	1.0
49	"ENSG00000147099.21"	"HDAC8"	chrX	-	72330657	72330768	72349691	72349926	72329537	72330076	72351732	72351838	49	0,0,1	0,0,0	0,0,0	0,0,2	334	210	1	1.0	NA,NA,1.0	NA,NA,0.0	1.0
55	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48981214	48981314	48981415	48981472	48978304	48978435	48981595	48981691	55	1,1,0	0,2,4	0,0,0	0,2,1	156	199	1	1.0	1.0,0.389,0.0	NA,0.0,0.0	0.463
56	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48990684	48990732	48990925	48991110	48989971	48990003	48993427	48993578	56	0,8,1	1,5,0	1,2,2	0,2,0	284	147	0.0198957383635	0.9510162937753	0.0,0.453,1.0	1.0,0.341,1.0	-0.296
57	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48990925	48991102	48993427	48993578	48990684	48990732	48997249	48997357	57	0,5,3	1,9,8	0,0,0	0,3,4	250	276	1	1.0	0.0,0.38,0.293	NA,0.0,0.0	0.224
58	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48990925	48991110	48993427	48993578	48990684	48990732	48997249	48997357	58	0,5,3	1,9,8	0,0,0	0,3,4	250	284	1	1.0	0.0,0.387,0.299	NA,0.0,0.0	0.229
59	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48993427	48993578	48997249	48997357	48990925	48991110	48998153	48998180	59	2,1,8	0,5,1	10,0,4	0,1,0	207	250	0.0873442062267	1.0	1.0,0.195,0.906	1.0,0.0,1.0	0.034
60	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48997249	48997357	48998153	48998180	48993427	48993578	48999237	48999299	60	0,0,0	0,2,0	1,0,0	0,0,2	126	207	1	1.0	NA,0.0,NA	1.0,NA,0.0	-0.5
61	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48997249	48997357	48999237	48999299	48993427	48993578	48999437	48999504	61	0,5,1	0,2,0	1,0,0	0,0,0	161	207	1	1.0	NA,0.763,1.0	1.0,NA,NA	-0.119
64	"ENSG00000215301.11"	"DDX3X"	chrX	+	41343215	41343351	41343736	41343822	41342736	41342836	41344029	41344128	64	0,0,2	0,0,4	0,1,0	3,0,2	235	185	1	1.0	NA,NA,0.282	0.0,1.0,0.0	-0.051
65	"ENSG00000215301.11"	"DDX3X"	chrX	+	41343736	41343822	41344029	41344128	41343215	41343351	41344238	41344399	65	0,1,2	1,0,4	0,0,0	2,0,1	185	198	1	1.0	0.0,1.0,0.349	0.0,NA,0.0	0.45
