ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
29	"ENSG00000184216.15"	"IRAK1"	chrX	-	154013042	154013433	154013042	154013343	154014041	154014278	29	0,1,2	0,0,1	1,0,3	0,0,0	189	99	1	1.0	NA,1.0,0.512	1.0,NA,1.0	-0.244
64	"ENSG00000125676.20"	"THOC2"	chrX	-	123600568	123603748	123600568	123601338	123610917	123610963	64	4,1,4	0,0,1	0,0,2	0,0,0	2509	99	1	1.0	1.0,1.0,0.136	NA,NA,1.0	-0.288
65	"ENSG00000125676.20"	"THOC2"	chrX	-	123610917	123610963	123610917	123610957	123611439	123611516	65	0,0,3	0,0,1	0,0,0	0,0,1	105	99	1	1.0	NA,NA,0.739	NA,NA,0.0	0.739
138	"ENSG00000147162.15"	"OGT"	chrX	+	71536177	71536358	71536207	71536358	71533100	71533336	138	1,12,48	0,0,2	2,0,7	1,0,0	129	99	1	1.0	1.0,1.0,0.949	0.606,NA,1.0	0.18
161	"ENSG00000086758.17"	"HUWE1"	chrX	-	53575642	53575788	53575642	53575785	53576899	53577067	161	0,0,1	0,0,0	0,0,0	0,0,1	102	99	1	1.0	NA,NA,1.0	NA,NA,0.0	1.0
162	"ENSG00000126012.13"	"KDM5C"	chrX	-	53217142	53217277	53217142	53217274	53217795	53217966	162	0,1,4	0,1,3	2,0,0	0,0,0	102	99	1	1.0	NA,0.493,0.564	1.0,NA,NA	-0.472
190	"ENSG00000101940.18"	"WDR13"	chrX	+	48598716	48598957	48598750	48598957	48597957	48598037	190	0,2,0	1,0,0	0,0,1	0,0,0	133	99	1	1.0	0.0,1.0,NA	NA,NA,1.0	-0.5
202	"ENSG00000130985.17"	"UBA1"	chrX	+	47205947	47206113	47206077	47206113	47203540	47203696	202	0,4,4	0,0,0	2,8,2	0,0,1	229	99	1	1.0	NA,1.0,1.0	1.0,1.0,0.464	0.179
203	"ENSG00000215301.11"	"DDX3X"	chrX	+	41337690	41339083	41339035	41339083	41337407	41337465	203	0,0,10	0,4,3	0,0,0	1,0,2	1444	99	1	1.0	NA,0.0,0.186	0.0,NA,0.0	0.093
205	"ENSG00000215301.11"	"DDX3X"	chrX	+	41339035	41339083	41339038	41339083	41337407	41337465	205	0,4,3	0,0,1	1,0,2	0,0,0	102	99	1	1.0	NA,1.0,0.744	1.0,NA,1.0	-0.128
211	"ENSG00000215301.11"	"DDX3X"	chrX	+	41347311	41347451	41347314	41347451	41346858	41347012	211	0,1,4	0,1,3	0,0,1	0,0,1	102	99	1	1.0	NA,0.493,0.564	NA,NA,0.493	0.035
227	"ENSG00000046651.16"	"OFD1"	chrX	+	13752703	13753441	13753367	13753441	13751248	13751368	227	0,1,7	0,0,3	0,0,0	1,0,0	763	99	1	1.0	NA,1.0,0.232	0.0,NA,NA	0.616
229	"ENSG00000046651.16"	"OFD1"	chrX	+	13767126	13768224	13768053	13768224	13763744	13763855	229	2,5,20	0,2,0	1,0,1	0,0,0	1026	99	1	1.0	1.0,0.194,1.0	1.0,NA,1.0	-0.269
275	"ENSG00000100416.15"	"TRMU"	chr22	+	46350290	46350463	46350345	46350463	46346421	46346544	275	0,0,0	0,0,1	0,0,4	0,0,0	154	99	1	1.0	NA,NA,0.0	NA,NA,1.0	-1.0
289	"ENSG00000100412.17"	"ACO2"	chr22	+	41517942	41518572	41518480	41518572	41517526	41517631	289	0,5,3	1,0,0	0,0,0	0,0,4	637	99	1	1.0	0.0,1.0,1.0	NA,NA,0.0	0.667
295	"ENSG00000239900.14"	"ADSL"	chr22	+	40361087	40361342	40361272	40361342	40360401	40360492	295	0,0,3	0,1,0	0,0,0	2,1,1	284	99	1	1.0	NA,0.0,1.0	0.0,0.0,0.0	0.5
304	"ENSG00000100092.24"	"SH3BP1"	chr22	+	37650085	37650249	37650151	37650249	37648318	37648435	304	0,1,0	0,1,0	0,0,1	0,1,0	165	99	1	1.0	NA,0.375,NA	NA,0.0,1.0	-0.125
382	"ENSG00000093010.15"	"COMT"	chr22	+	19961696	19962815	19962526	19962815	19961198	19961289	382	0,0,1	4,0,3	0,0,0	3,0,0	929	99	1	1.0	0.0,NA,0.034	0.0,NA,NA	0.017
