ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
9	"ENSG00000130826.19"	"DKC1"	chrX	+	154764898	154765530	154764898	154764966	154765443	154765530	9	0,0,1	0,1,6	0,0,0	2,0,2	576	99	1	1.0	NA,0.0,0.028	0.0,NA,0.0	0.014
13	"ENSG00000130826.19"	"DKC1"	chrX	+	154774601	154776324	154774601	154775273	154776186	154776324	13	0,0,6	0,1,4	0,1,0	0,0,0	1012	99	1	1.0	NA,0.0,0.128	NA,1.0,NA	-0.936
21	"ENSG00000147403.18"	"RPL10"	chrX	+	154398376	154398542	154398376	154398394	154398496	154398542	21	8,6,2	2,0,8	3,0,3	1,4,1	201	99	0.219028261224	1.0	0.663,1.0,0.11	0.596,0.0,0.596	0.194
22	"ENSG00000147403.18"	"RPL10"	chrX	+	154399337	154399594	154399337	154399396	154399486	154399594	22	2,3,6	4,9,22	0,2,0	18,21,29	189	99	5.91111309761e-05	0.005052594290576166	0.208,0.149,0.125	0.0,0.048,0.0	0.145
23	"ENSG00000147403.18"	"RPL10"	chrX	+	154399802	154400626	154399802	154399941	154400463	154400626	23	0,0,5	12,5,15	0,0,1	9,7,20	621	99	0.481143878513	1.0	0.0,0.0,0.05	0.0,0.0,0.008	0.014
24	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154350908	154351696	24	0,7,0	1,4,0	0,0,0	8,3,3	800	99	1	1.0	0.0,0.178,NA	0.0,0.0,0.0	0.089
25	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154350908	154351041	154351580	154351696	25	0,2,2	0,1,1	8,0,3	0,1,2	638	99	1	1.0	NA,0.237,0.237	1.0,0.0,0.189	-0.159
28	"ENSG00000184216.15"	"IRAK1"	chrX	-	154019430	154019812	154019430	154019598	154019676	154019812	28	0,1,0	0,1,1	1,0,0	0,0,0	177	99	1	1.0	NA,0.359,0.0	1.0,NA,NA	-0.821
86	"ENSG00000198034.11"	"RPS4X"	chrX	-	72273800	72275150	72273800	72273972	72275052	72275150	86	0,1,3	5,6,20	0,0,0	7,2,9	1179	99	1	1.0	0.0,0.014,0.012	0.0,0.0,0.0	0.009
97	"ENSG00000184634.17"	"MED12"	chrX	+	71128597	71129215	71128597	71128853	71129113	71129215	97	0,1,1	0,0,0	0,0,0	2,0,0	359	99	1	1.0	NA,1.0,1.0	0.0,NA,NA	1.0
107	"ENSG00000184634.17"	"MED12"	chrX	+	71141229	71141964	71141229	71141370	71141882	71141964	107	0,0,2	0,0,2	0,0,0	0,0,2	611	99	1	1.0	NA,NA,0.139	NA,NA,0.0	0.139
117	"ENSG00000182518.14"	"FAM104B"	chrX	-	55143101	55146311	55143101	55143875	55146180	55146311	117	0,0,0	0,0,2	3,2,0	0,0,0	2404	99	1	1.0	NA,NA,0.0	1.0,1.0,NA	-1.0
119	"ENSG00000072506.14"	"HSD17B10"	chrX	-	53431260	53431906	53431260	53431594	53431797	53431906	119	0,0,4	0,0,1	0,0,0	2,0,0	302	99	1	1.0	NA,NA,0.567	0.0,NA,NA	0.567
122	"ENSG00000126012.13"	"KDM5C"	chrX	-	53211496	53211906	53211496	53211655	53211786	53211906	122	0,1,1	1,2,6	0,0,0	2,0,0	230	99	1	1.0	0.0,0.177,0.067	0.0,NA,NA	0.081
127	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48975154	48976111	48975154	48975309	48976017	48976111	127	6,11,23	1,4,0	3,0,0	0,0,0	807	99	1	1.0	0.424,0.252,1.0	1.0,NA,NA	-0.441
129	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48975154	48976363	48975154	48976111	48976240	48976363	129	0,7,2	4,4,4	0,0,0	0,0,3	228	99	1	1.0	0.0,0.432,0.178	NA,NA,0.0	0.203
134	"ENSG00000101940.18"	"WDR13"	chrX	+	48597491	48598037	48597491	48597614	48597957	48598037	134	0,2,0	0,0,0	0,0,3	0,2,2	442	99	1	1.0	NA,1.0,NA	NA,0.0,0.251	0.875
153	"ENSG00000215301.11"	"DDX3X"	chrX	+	41337407	41339083	41337407	41337465	41339035	41339083	153	0,1,14	0,4,3	0,0,0	1,0,2	1669	99	1	1.0	NA,0.015,0.217	0.0,NA,0.0	0.116
156	"ENSG00000215301.11"	"DDX3X"	chrX	+	41341483	41342653	41341483	41341616	41342494	41342653	156	0,2,6	0,3,5	0,0,2	0,2,1	977	99	1	1.0	NA,0.063,0.108	NA,0.0,0.169	0.001
157	"ENSG00000215301.11"	"DDX3X"	chrX	+	41342494	41342836	41342494	41342653	41342736	41342836	157	0,2,8	0,0,4	0,0,0	0,1,0	182	99	1	1.0	NA,1.0,0.521	NA,0.0,NA	0.76
158	"ENSG00000215301.11"	"DDX3X"	chrX	+	41343215	41344128	41343215	41343351	41343736	41344128	158	0,0,2	0,3,4	0,0,0	2,1,0	484	99	1	1.0	NA,0.0,0.093	0.0,0.0,NA	0.046
160	"ENSG00000215301.11"	"DDX3X"	chrX	+	41343736	41344128	41343736	41343822	41344029	41344128	160	0,1,3	0,2,6	0,0,0	1,0,0	306	99	1	1.0	NA,0.139,0.139	0.0,NA,NA	0.139
161	"ENSG00000215301.11"	"DDX3X"	chrX	+	41345179	41345548	41345179	41345324	41345403	41345548	161	0,0,2	0,4,2	0,0,0	1,2,1	178	99	1	1.0	NA,0.0,0.357	0.0,0.0,0.0	0.178
164	"ENSG00000215301.11"	"DDX3X"	chrX	+	41346858	41347451	41346858	41347012	41347311	41347451	164	0,0,2	0,1,4	0,0,0	0,0,1	398	99	1	1.0	NA,0.0,0.111	NA,NA,0.0	0.056
165	"ENSG00000215301.11"	"DDX3X"	chrX	+	41346858	41347451	41346858	41347012	41347314	41347451	165	0,0,2	0,1,3	0,0,0	0,0,1	401	99	1	1.0	NA,0.0,0.141	NA,NA,0.0	0.07
166	"ENSG00000215301.11"	"DDX3X"	chrX	+	41347311	41349886	41347311	41347451	41347639	41349886	166	0,0,1	0,1,1	0,0,0	2,1,3	287	99	1	1.0	NA,0.0,0.256	0.0,0.0,0.0	0.128
170	"ENSG00000157625.16"	"TAB3"	chrX	-	30842965	30846644	30842965	30843049	30846550	30846644	170	0,0,1	0,0,1	0,2,1	0,0,0	3600	99	1	1.0	NA,NA,0.027	NA,1.0,1.0	-0.973
176	"ENSG00000102054.18"	"RBBP7"	chrX	-	16845827	16849301	16845827	16845938	16849243	16849301	176	1,3,3	0,1,0	1,0,0	0,1,1	3404	99	0.308469051389	1.0	1.0,0.08,1.0	1.0,0.0,0.0	0.36
180	"ENSG00000046651.16"	"OFD1"	chrX	+	13753367	13755242	13753367	13753441	13755150	13755242	180	0,3,7	0,0,7	2,0,0	1,0,0	1808	99	1	1.0	NA,1.0,0.052	0.099,NA,NA	0.427
181	"ENSG00000046651.16"	"OFD1"	chrX	+	13757659	13760720	13757659	13757790	13758336	13760720	181	1,2,5	1,3,5	0,0,0	0,0,2	645	99	1	1.0	0.133,0.093,0.133	NA,NA,0.0	0.12
184	"ENSG00000046651.16"	"OFD1"	chrX	+	13767126	13768224	13767126	13767284	13768053	13768224	184	2,0,6	1,3,10	0,0,1	0,0,4	868	99	1	1.0	0.186,0.0,0.064	NA,NA,0.028	0.055
197	"ENSG00000005302.19"	"MSL3"	chrX	+	11763779	11765729	11763779	11763938	11765466	11765729	197	6,7,25	0,0,1	3,0,2	0,0,0	1627	99	1	1.0	1.0,1.0,0.603	1.0,NA,1.0	-0.132
200	"ENSG00000005302.19"	"MSL3"	chrX	+	11763779	11768682	11763779	11765729	11768572	11768682	200	1,3,21	0,0,1	0,0,1	0,0,0	2942	99	1	1.0	1.0,1.0,0.414	NA,NA,1.0	-0.195
