ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
29	"ENSG00000184216.15"	"IRAK1"	chrX	-	154013042	154013433	154013042	154013343	154014041	154014278	29	0,1,2	0,0,1	0,0,2	0,0,0	189	99	1	1.0	NA,1.0,0.512	NA,NA,1.0	-0.244
64	"ENSG00000125676.20"	"THOC2"	chrX	-	123600568	123603748	123600568	123601338	123610917	123610963	64	4,1,4	0,0,1	4,2,2	0,0,0	2509	99	1	1.0	1.0,1.0,0.136	1.0,1.0,1.0	-0.288
65	"ENSG00000125676.20"	"THOC2"	chrX	-	123610917	123610963	123610917	123610957	123611439	123611516	65	0,0,3	0,0,1	0,0,2	0,0,0	105	99	1	1.0	NA,NA,0.739	NA,NA,1.0	-0.261
75	"ENSG00000068366.21"	"ACSL4"	chrX	-	109683135	109683552	109683135	109683375	109696143	109696196	75	0,0,0	0,0,1	0,0,2	0,0,0	276	99	1	1.0	NA,NA,0.0	NA,NA,1.0	-1.0
99	"ENSG00000126953.8"	"TIMM8A"	chrX	-	101345660	101348401	101345660	101346660	101348532	101348742	99	0,1,0	0,0,0	0,0,0	1,0,0	1840	99	1	1.0	NA,1.0,NA	0.0,NA,NA	1.0
108	"ENSG00000131269.19"	"ABCB7"	chrX	-	75114753	75114834	75114753	75114831	75156104	75156282	108	0,0,2	0,0,1	0,0,4	0,0,0	102	99	1	1.0	NA,NA,0.66	NA,NA,1.0	-0.34
138	"ENSG00000147162.15"	"OGT"	chrX	+	71536177	71536358	71536207	71536358	71533100	71533336	138	1,12,48	0,0,2	8,0,4	0,0,0	129	99	1	1.0	1.0,1.0,0.949	1.0,NA,1.0	-0.017
170	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48975154	48975613	48975154	48975309	48976017	48976111	170	0,2,1	1,4,0	0,0,3	1,1,2	403	99	0.765069144378	1.0	0.0,0.109,1.0	0.0,0.0,0.269	0.28
183	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48983227	48983470	48983227	48983440	48983774	48983870	183	0,1,0	1,3,1	0,0,0	12,2,4	129	99	1	1.0	0.0,0.204,0.0	0.0,0.0,0.0	0.068
185	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48990925	48991239	48990925	48991110	48993427	48993578	185	0,0,1	0,8,1	0,0,0	1,1,0	228	99	1	1.0	NA,0.0,0.303	0.0,0.0,NA	0.151
190	"ENSG00000101940.18"	"WDR13"	chrX	+	48598716	48598957	48598750	48598957	48597957	48598037	190	0,2,0	1,0,0	0,2,0	0,0,0	133	99	1	1.0	0.0,1.0,NA	NA,1.0,NA	-0.5
203	"ENSG00000215301.11"	"DDX3X"	chrX	+	41337690	41339083	41339035	41339083	41337407	41337465	203	0,0,10	0,4,3	1,0,1	1,0,0	1444	99	1	1.0	NA,0.0,0.186	0.064,NA,1.0	-0.439
204	"ENSG00000215301.11"	"DDX3X"	chrX	+	41337690	41339083	41339038	41339083	41337407	41337465	204	0,0,10	0,0,1	1,0,1	0,0,0	1447	99	1	1.0	NA,NA,0.406	1.0,NA,1.0	-0.594
205	"ENSG00000215301.11"	"DDX3X"	chrX	+	41339035	41339083	41339038	41339083	41337407	41337465	205	0,4,3	0,0,1	1,0,0	0,0,0	102	99	1	1.0	NA,1.0,0.744	1.0,NA,NA	-0.128
211	"ENSG00000215301.11"	"DDX3X"	chrX	+	41347311	41347451	41347314	41347451	41346858	41347012	211	0,1,4	0,1,3	0,0,1	1,0,1	102	99	1	1.0	NA,0.493,0.564	0.0,NA,0.493	0.282
227	"ENSG00000046651.16"	"OFD1"	chrX	+	13736477	13736678	13736655	13736678	13736107	13736296	227	2,2,2	0,0,0	0,0,0	1,0,0	277	99	1	1.0	1.0,1.0,1.0	0.0,NA,NA	1.0
228	"ENSG00000046651.16"	"OFD1"	chrX	+	13752703	13753441	13753367	13753441	13751248	13751368	228	0,1,7	0,0,3	1,0,0	1,0,0	763	99	1	1.0	NA,1.0,0.232	0.115,NA,NA	0.501
230	"ENSG00000046651.16"	"OFD1"	chrX	+	13767126	13768224	13768053	13768224	13763744	13763855	230	2,5,20	0,2,0	5,1,3	0,0,0	1026	99	0.405739925104	1.0	1.0,0.194,1.0	1.0,1.0,1.0	-0.269
239	"ENSG00000005302.19"	"MSL3"	chrX	+	11766960	11768682	11768572	11768682	11765466	11765729	239	0,0,9	0,0,1	1,1,1	0,0,0	1711	99	1	1.0	NA,NA,0.342	1.0,1.0,1.0	-0.658
254	"ENSG00000079974.19"	"RABL2B"	chr22	-	50782187	50782351	50782187	50782347	50783500	50783636	254	1,0,0	0,0,0	0,0,0	0,0,1	103	99	1	1.0	1.0,NA,NA	NA,NA,0.0	1.0
256	"ENSG00000100288.20"	"CHKB"	chr22	-	50579726	50579830	50579726	50579802	50579973	50580082	256	0,4,4	0,2,0	0,0,0	1,0,0	127	99	1	1.0	NA,0.609,1.0	0.0,NA,NA	0.804
260	"ENSG00000025708.14"	"TYMP"	chr22	-	50529495	50529747	50529495	50529719	50529903	50530012	260	2,1,0	1,0,0	1,0,0	0,0,0	127	99	1	1.0	0.609,1.0,NA	1.0,NA,NA	-0.196
261	"ENSG00000025708.14"	"TYMP"	chr22	-	50529495	50529754	50529495	50529719	50529903	50530012	261	2,1,0	1,0,0	1,0,0	0,0,0	134	99	1	1.0	0.596,1.0,NA	1.0,NA,NA	-0.202
265	"ENSG00000100239.16"	"PPP6R2"	chr22	+	50419345	50419462	50419348	50419462	50416091	50416157	265	0,0,0	0,1,0	1,0,0	0,0,0	102	99	1	1.0	NA,0.0,NA	1.0,NA,NA	-1.0
266	"ENSG00000100239.16"	"PPP6R2"	chr22	+	50419345	50419462	50419348	50419462	50418866	50418979	266	0,0,0	1,0,6	0,0,1	0,0,0	102	99	1	1.0	0.0,NA,0.0	NA,NA,1.0	-1.0
