ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
58	"ENSG00000147224.13"	"PRPS1"	chrX	+	107628427	107628750	107628427	107628482	107639294	107639478	58	0,1,1	0,0,0	0,0,0	0,0,4	198	99	1	1.0	NA,1.0,1.0	NA,NA,0.0	1.0
79	"ENSG00000147162.15"	"OGT"	chrX	+	71544566	71545037	71544566	71544635	71547906	71548023	79	0,1,8	0,0,0	0,0,0	0,0,2	198	99	1	1.0	NA,1.0,1.0	NA,NA,0.0	1.0
95	"ENSG00000086758.17"	"HUWE1"	chrX	-	53543840	53543968	53543885	53543968	53542442	53542539	95	0,0,4	0,1,0	2,0,0	1,0,0	144	99	1	1.0	NA,0.0,1.0	0.579,NA,NA	-0.079
97	"ENSG00000126012.13"	"KDM5C"	chrX	-	53193772	53193851	53193781	53193851	53193436	53193636	97	2,0,1	0,0,2	4,0,1	0,1,1	108	99	1	1.0	1.0,NA,0.314	1.0,0.0,0.478	0.164
109	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	49001998	49002264	49002187	49002264	48999437	48999504	109	0,3,0	0,2,1	0,0,0	1,0,0	198	99	1	1.0	NA,0.429,0.0	0.0,NA,NA	0.214
176	"ENSG00000183569.18"	"SERHL2"	chr22	+	42571120	42571901	42571120	42571203	42572435	42572529	176	0,0,0	0,0,1	0,1,0	0,0,0	198	99	1	1.0	NA,NA,0.0	NA,1.0,NA	-1.0
189	"ENSG00000239900.14"	"ADSL"	chr22	+	40361487	40361666	40361487	40361635	40362980	40363071	189	0,0,1	0,0,4	0,0,1	0,0,1	130	99	1	1.0	NA,NA,0.16	NA,NA,0.432	-0.272
190	"ENSG00000239900.14"	"ADSL"	chr22	+	40361487	40361677	40361487	40361635	40362980	40363071	190	0,0,1	0,0,4	0,0,1	0,0,1	141	99	1	1.0	NA,NA,0.149	NA,NA,0.413	-0.264
192	"ENSG00000100242.16"	"SUN2"	chr22	-	38740888	38741050	38741006	38741050	38740266	38740432	192	3,0,0	0,1,0	1,0,0	0,0,0	198	99	1	1.0	1.0,0.0,NA	1.0,NA,NA	-0.5
194	"ENSG00000124486.15"	"USP9X"	chrX	+	41229566	41229827	41229566	41229779	41230500	41230596	194	0,0,1	0,1,3	0,0,0	0,0,1	147	99	1	1.0	NA,0.0,0.183	NA,NA,0.0	0.091
247	"ENSG00000099949.22"	"LZTR1"	chr22	+	20990385	20990969	20990385	20990525	20991627	20991829	247	0,0,1	0,1,0	0,0,0	1,0,0	198	99	1	1.0	NA,0.0,1.0	0.0,NA,NA	0.5
250	"ENSG00000291033.1"	"TXLNGY"	chrY	+	19567349	19567570	19567349	19567482	19587209	19587507	250	0,1,0	0,0,0	0,0,0	1,0,0	187	99	1	1.0	NA,1.0,NA	0.0,NA,NA	1.0
265	"ENSG00000160226.16"	"CFAP410"	chr21	-	44330462	44330916	44330822	44330916	44329890	44330326	265	0,0,0	0,1,0	1,0,0	0,0,0	198	99	1	1.0	NA,0.0,NA	1.0,NA,NA	-1.0
266	"ENSG00000160226.16"	"CFAP410"	chr21	-	44334060	44335804	44335757	44335804	44333032	44333262	266	0,1,2	0,0,0	1,0,0	2,0,0	198	99	1	1.0	NA,1.0,1.0	0.2,NA,NA	0.8
268	"ENSG00000160193.12"	"WDR4"	chr21	-	42873550	42873691	42873602	42873691	42863439	42863596	268	0,1,1	0,0,0	0,0,0	1,0,0	151	99	1	1.0	NA,1.0,1.0	0.0,NA,NA	1.0
286	"ENSG00000159086.15"	"PAXBP1"	chr21	-	32755212	32755353	32755229	32755353	32751118	32751218	286	0,0,3	0,0,0	0,0,0	0,0,1	116	99	1	1.0	NA,NA,1.0	NA,NA,0.0	1.0
314	"ENSG00000101017.15"	"CD40"	chr20	+	46126639	46126741	46126639	46126701	46128137	46128224	314	0,0,1	0,0,2	0,0,0	0,0,2	139	99	1	1.0	NA,NA,0.263	NA,NA,0.0	0.263
317	"ENSG00000101109.13"	"STK4"	chr20	+	45000391	45000586	45000391	45000520	45001166	45001353	317	0,1,1	0,0,5	0,0,0	1,0,2	165	99	1	1.0	NA,1.0,0.107	0.0,NA,0.0	0.553
319	"ENSG00000184402.15"	"SS18L1"	chr20	+	62158671	62158942	62158671	62158748	62159876	62159961	319	0,0,1	0,0,1	0,0,0	0,0,1	198	99	1	1.0	NA,NA,0.333	NA,NA,0.0	0.333
325	"ENSG00000185513.18"	"L3MBTL1"	chr20	+	43530283	43532924	43530283	43530889	43533341	43533418	325	0,0,0	0,0,1	1,0,0	0,0,0	198	99	1	1.0	NA,NA,0.0	1.0,NA,NA	-1.0
345	"ENSG00000196756.15"	"SNHG17"	chr20	-	38435026	38435328	38435196	38435328	38434503	38434626	345	0,5,0	3,0,1	0,0,0	4,0,0	198	99	1	1.0	0.0,1.0,0.0	0.0,NA,NA	0.333
367	"ENSG00000101294.19"	"HM13"	chr20	+	31538178	31538359	31538178	31538261	31544946	31545035	367	0,1,1	1,0,1	0,2,0	0,0,0	197	99	1	1.0	0.0,1.0,0.334	NA,1.0,NA	-0.555
369	"ENSG00000101294.19"	"HM13"	chr20	+	31538178	31538554	31538178	31538359	31544946	31545035	369	0,0,1	0,0,0	0,0,0	0,2,0	198	99	1	1.0	NA,NA,1.0	NA,0.0,NA	1.0
371	"ENSG00000291100.1"	"ENSG00000291100"	chr20	-	28601602	28601756	28601656	28601756	28600391	28600461	371	0,0,1	0,2,4	0,0,0	1,1,0	153	99	1	1.0	NA,0.0,0.139	0.0,0.0,NA	0.07
372	"ENSG00000291100.1"	"ENSG00000291100"	chr20	-	28602319	28602769	28602608	28602769	28600391	28600461	372	0,0,2	0,1,8	1,0,0	0,0,3	198	99	1	1.0	NA,0.0,0.111	1.0,NA,0.0	-0.445
373	"ENSG00000291100.1"	"ENSG00000291100"	chr20	-	28602319	28602769	28602608	28602769	28601602	28601756	373	0,0,0	0,5,4	1,0,0	1,1,0	198	99	1	1.0	NA,0.0,0.0	0.333,0.0,NA	-0.167
382	"ENSG00000171365.17"	"CLCN5"	chrX	+	49923406	49923741	49923406	49923482	49925170	49925314	382	1,3,1	0,3,0	0,0,0	1,0,0	198	99	1	1.0	1.0,0.333,1.0	0.0,NA,NA	0.778
403	"ENSG00000089063.15"	"TMEM230"	chr20	-	5109157	5109445	5109331	5109445	5106187	5106310	403	0,0,1	1,1,3	0,0,0	0,0,2	198	99	1	1.0	0.0,0.0,0.143	NA,NA,0.0	0.048
404	"ENSG00000125779.24"	"PANK2"	chr20	+	3907925	3908278	3907925	3908135	3910576	3910830	404	0,0,2	0,1,2	0,0,1	1,0,1	198	99	1	1.0	NA,0.0,0.333	0.0,NA,0.333	0.0
415	"ENSG00000125826.22"	"RBCK1"	chr20	+	420870	421031	420870	421006	422126	422238	415	0,2,3	0,0,0	3,0,2	1,0,0	124	99	1	1.0	NA,1.0,1.0	0.705,NA,1.0	0.147
424	"ENSG00000178935.5"	"ZNF552"	chr19	-	57814532	57814913	57814710	57814913	57813293	57813420	424	0,1,0	0,0,0	0,0,0	1,0,0	198	99	1	1.0	NA,1.0,NA	0.0,NA,NA	1.0
459	"ENSG00000062822.16"	"POLD1"	chr19	+	50415437	50415602	50415437	50415590	50415723	50415826	459	0,0,1	0,1,0	0,0,0	1,0,0	111	99	1	1.0	NA,0.0,1.0	0.0,NA,NA	0.5
467	"ENSG00000104852.15"	"SNRNP70"	chr19	+	49102113	49103587	49102113	49102173	49104633	49104735	467	0,3,6	1,0,0	0,0,2	0,0,1	198	99	1	1.0	0.0,1.0,1.0	NA,NA,0.5	0.167
490	"ENSG00000125755.19"	"SYMPK"	chr19	-	45828969	45829205	45829054	45829205	45827836	45827918	490	1,1,2	0,0,1	3,0,3	0,0,0	184	99	1	1.0	1.0,1.0,0.518	1.0,NA,1.0	-0.161
546	"ENSG00000178982.10"	"EIF3K"	chr19	+	38619195	38619327	38619195	38619317	38620336	38620435	546	1,4,6	0,0,0	0,2,0	1,0,0	109	99	1	1.0	1.0,1.0,1.0	0.0,1.0,NA	0.5
563	"ENSG00000272333.8"	"KMT2B"	chr19	+	35727437	35727622	35727437	35727592	35727697	35727787	563	1,1,0	0,0,0	2,2,2	3,0,0	129	99	1	1.0	1.0,1.0,NA	0.338,1.0,1.0	0.221
578	"ENSG00000105220.17"	"GPI"	chr19	+	34381465	34381598	34381465	34381519	34393247	34393308	578	0,0,1	0,2,2	0,0,0	0,0,2	178	99	1	1.0	NA,0.0,0.218	NA,NA,0.0	0.109
597	"ENSG00000089639.11"	"GMIP"	chr19	-	19642534	19642619	19642536	19642619	19641975	19642051	597	2,3,5	0,1,1	4,3,5	0,0,2	101	99	1	1.0	1.0,0.746,0.831	1.0,1.0,0.71	-0.044
608	"ENSG00000099308.13"	"MAST3"	chr19	+	18146880	18147044	18146880	18147017	18147442	18147624	608	0,1,0	0,3,3	0,0,0	0,0,1	126	99	1	1.0	NA,0.208,0.0	NA,NA,0.0	0.104
616	"ENSG00000130475.16"	"FCHO1"	chr19	+	17774238	17774287	17774238	17774283	17774393	17774478	616	0,0,2	2,1,1	0,0,0	1,0,0	103	99	1	1.0	0.0,0.0,0.658	0.0,NA,NA	0.219
617	"ENSG00000130475.16"	"FCHO1"	chr19	+	17784102	17784363	17784102	17784235	17784724	17784924	617	0,0,0	3,1,3	2,0,0	2,0,0	198	99	1	1.0	0.0,0.0,0.0	0.333,NA,NA	-0.333
625	"ENSG00000011243.19"	"AKAP8L"	chr19	-	15398629	15399410	15399301	15399410	15397713	15397855	625	0,0,6	0,0,3	0,0,1	0,0,0	198	99	1	1.0	NA,NA,0.5	NA,NA,1.0	-0.5
