ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
21	"ENSG00000147403.18"	"RPL10"	chrX	+	154398376	154398542	154398376	154398394	154398496	154398542	21	7,6,2	2,0,8	3,0,3	1,4,1	198	99	0.243759716311	1.0	0.636,1.0,0.111	0.6,0.0,0.6	0.182
22	"ENSG00000147403.18"	"RPL10"	chrX	+	154399337	154399594	154399337	154399396	154399486	154399594	22	2,3,6	4,9,22	0,2,0	18,21,29	189	99	5.91111309761e-05	0.006984965310342484	0.208,0.149,0.125	0.0,0.048,0.0	0.145
23	"ENSG00000147403.18"	"RPL10"	chrX	+	154399802	154400626	154399802	154399941	154400463	154400626	23	0,0,2	12,5,15	0,0,1	9,7,20	198	99	1	1.0	0.0,0.0,0.062	0.0,0.0,0.024	0.013
24	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154350908	154351696	24	0,2,0	1,4,0	0,0,0	8,3,3	198	99	1	1.0	0.0,0.2,NA	0.0,0.0,0.0	0.1
25	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154350908	154351041	154351580	154351696	25	0,2,2	0,1,1	2,0,2	0,1,2	198	99	1	1.0	NA,0.5,0.5	1.0,0.0,0.333	0.056
28	"ENSG00000184216.15"	"IRAK1"	chrX	-	154019430	154019812	154019430	154019598	154019676	154019812	28	0,1,0	0,1,1	1,0,0	0,0,0	177	99	1	1.0	NA,0.359,0.0	1.0,NA,NA	-0.821
86	"ENSG00000198034.11"	"RPS4X"	chrX	-	72273800	72275150	72273800	72273972	72275052	72275150	86	0,1,1	5,6,20	0,0,0	7,2,9	198	99	1	1.0	0.0,0.077,0.024	0.0,0.0,0.0	0.034
97	"ENSG00000184634.17"	"MED12"	chrX	+	71128597	71129215	71128597	71128853	71129113	71129215	97	0,1,0	0,0,0	0,0,0	2,0,0	198	99	1	1.0	NA,1.0,NA	0.0,NA,NA	1.0
107	"ENSG00000184634.17"	"MED12"	chrX	+	71141229	71141964	71141229	71141370	71141882	71141964	107	0,0,1	0,0,2	0,0,0	0,0,2	198	99	1	1.0	NA,NA,0.2	NA,NA,0.0	0.2
117	"ENSG00000182518.14"	"FAM104B"	chrX	-	55143101	55146311	55143101	55143875	55146180	55146311	117	0,0,0	0,0,2	1,0,0	0,0,0	198	99	1	1.0	NA,NA,0.0	1.0,NA,NA	-1.0
119	"ENSG00000072506.14"	"HSD17B10"	chrX	-	53431260	53431906	53431260	53431594	53431797	53431906	119	0,0,4	0,0,1	0,0,0	2,0,0	198	99	1	1.0	NA,NA,0.667	0.0,NA,NA	0.667
122	"ENSG00000126012.13"	"KDM5C"	chrX	-	53211496	53211906	53211496	53211655	53211786	53211906	122	0,1,1	1,2,6	0,0,0	2,0,0	198	99	1	1.0	0.0,0.2,0.077	0.0,NA,NA	0.092
129	"ENSG00000068400.14"	"GRIPAP1"	chrX	-	48975154	48976363	48975154	48976111	48976240	48976363	129	0,7,2	4,4,4	0,0,0	0,0,3	198	99	1	1.0	0.0,0.467,0.2	NA,NA,0.0	0.222
134	"ENSG00000101940.18"	"WDR13"	chrX	+	48597491	48598037	48597491	48597614	48597957	48598037	134	0,2,0	0,0,0	0,0,3	0,2,2	198	99	1	1.0	NA,1.0,NA	NA,0.0,0.429	0.785
